Thu Mar 30 19:56:23 2023 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.03881, valid loss: 0.04790, precision: 0.9670, recall: 0.973029.
Thu Mar 30 20:03:21 2023 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.03629, valid loss: 0.04573, precision: 0.9662, recall: 0.972933.
Thu Mar 30 20:10:15 2023 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.03491, valid loss: 0.04634, precision: 0.9682, recall: 0.970371.
Thu Mar 30 20:17:14 2023 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.03332, valid loss: 0.04723, precision: 0.9704, recall: 0.971045.
Thu Mar 30 20:24:09 2023 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.03155, valid loss: 0.04550, precision: 0.9725, recall: 0.970923.
Thu Mar 30 20:31:05 2023 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.03013, valid loss: 0.04593, precision: 0.9700, recall: 0.972849.
Thu Mar 30 20:37:58 2023 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.02794, valid loss: 0.04724, precision: 0.9700, recall: 0.972015.
Thu Mar 30 20:44:57 2023 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.02740, valid loss: 0.04826, precision: 0.9679, recall: 0.976500.
Thu Mar 30 20:51:53 2023 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.02608, valid loss: 0.04899, precision: 0.9699, recall: 0.974470.
Thu Mar 30 20:58:49 2023 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.02422, valid loss: 0.05080, precision: 0.9684, recall: 0.975603.
Thu Mar 30 21:05:47 2023 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.02339, valid loss: 0.04963, precision: 0.9735, recall: 0.971782.
Thu Mar 30 21:12:46 2023 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.02290, valid loss: 0.04908, precision: 0.9708, recall: 0.975478.
Thu Mar 30 21:19:45 2023 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.02180, valid loss: 0.05028, precision: 0.9716, recall: 0.974976.
Thu Mar 30 21:26:44 2023 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.02110, valid loss: 0.05081, precision: 0.9730, recall: 0.974765.
Thu Mar 30 21:33:40 2023 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.02103, valid loss: 0.05064, precision: 0.9701, recall: 0.976855.
Thu Mar 30 21:40:39 2023 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.02043, valid loss: 0.05030, precision: 0.9714, recall: 0.975969.
Thu Mar 30 21:47:36 2023 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.01964, valid loss: 0.05148, precision: 0.9729, recall: 0.974302.
Thu Mar 30 21:54:35 2023 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.01940, valid loss: 0.05105, precision: 0.9731, recall: 0.974561.
Thu Mar 30 22:01:35 2023 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.01951, valid loss: 0.05064, precision: 0.9723, recall: 0.976036.
Thu Mar 30 22:08:33 2023 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.01883, valid loss: 0.05097, precision: 0.9721, recall: 0.975272.
Thu Mar 30 22:15:32 2023 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.01867, valid loss: 0.05109, precision: 0.9719, recall: 0.975722.
Thu Mar 30 22:22:30 2023 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.29226, valid loss: 0.15980, precision: 0.8781, recall: 0.898883.
Thu Mar 30 22:29:27 2023 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.09426, valid loss: 0.06201, precision: 0.9568, recall: 0.963375.
