Tue Apr 11 16:17:07 2023 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.03770, valid loss: 0.04743, precision: 0.9676, recall: 0.963522.
Tue Apr 11 16:24:56 2023 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.03669, valid loss: 0.04690, precision: 0.9648, recall: 0.965567.
Tue Apr 11 16:32:46 2023 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.03527, valid loss: 0.04712, precision: 0.9627, recall: 0.968035.
Tue Apr 11 16:40:37 2023 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.03424, valid loss: 0.04711, precision: 0.9675, recall: 0.967306.
Tue Apr 11 16:48:28 2023 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.03284, valid loss: 0.04751, precision: 0.9686, recall: 0.965397.
Tue Apr 11 16:56:19 2023 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.03159, valid loss: 0.04738, precision: 0.9679, recall: 0.968680.
Tue Apr 11 17:04:10 2023 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.03094, valid loss: 0.04829, precision: 0.9647, recall: 0.971375.
Tue Apr 11 17:11:59 2023 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.02995, valid loss: 0.04916, precision: 0.9685, recall: 0.966163.
Tue Apr 11 17:19:50 2023 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.02875, valid loss: 0.04968, precision: 0.9634, recall: 0.972679.
Tue Apr 11 17:27:37 2023 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.02837, valid loss: 0.04965, precision: 0.9656, recall: 0.971990.
Tue Apr 11 17:35:23 2023 Fold 0, Epoch 25, lr: 0.0000306, train loss: 0.02816, valid loss: 0.04859, precision: 0.9670, recall: 0.969479.
Tue Apr 11 17:43:14 2023 Fold 0, Epoch 26, lr: 0.0000215, train loss: 0.02773, valid loss: 0.04870, precision: 0.9674, recall: 0.970515.
Tue Apr 11 17:51:03 2023 Fold 0, Epoch 27, lr: 0.0000139, train loss: 0.02724, valid loss: 0.04954, precision: 0.9674, recall: 0.969707.
Tue Apr 11 17:58:54 2023 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.02720, valid loss: 0.04928, precision: 0.9682, recall: 0.969268.
Tue Apr 11 18:06:42 2023 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.02734, valid loss: 0.04988, precision: 0.9686, recall: 0.968122.
Tue Apr 11 18:14:30 2023 Fold 0, Epoch 30, lr: 0.0000009, train loss: 0.02666, valid loss: 0.04922, precision: 0.9678, recall: 0.969567.
Tue Apr 11 18:22:19 2023 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.26438, valid loss: 0.14611, precision: 0.8755, recall: 0.877907.
