Wed Mar 29 18:33:41 2023 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01561, valid loss: 0.04589, precision: 0.9733, recall: 0.977680.
Wed Mar 29 18:44:32 2023 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01437, valid loss: 0.04824, precision: 0.9729, recall: 0.978336.
Wed Mar 29 18:55:28 2023 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01341, valid loss: 0.04824, precision: 0.9723, recall: 0.980483.
Wed Mar 29 19:06:22 2023 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01273, valid loss: 0.05017, precision: 0.9719, recall: 0.981465.
Wed Mar 29 19:17:24 2023 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.01215, valid loss: 0.04853, precision: 0.9745, recall: 0.978569.
Wed Mar 29 19:28:19 2023 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.01106, valid loss: 0.05027, precision: 0.9741, recall: 0.978947.
Wed Mar 29 19:39:14 2023 Fold 0, Epoch 25, lr: 0.0000306, train loss: 0.01069, valid loss: 0.05056, precision: 0.9764, recall: 0.977385.
Wed Mar 29 19:50:09 2023 Fold 0, Epoch 26, lr: 0.0000215, train loss: 0.01048, valid loss: 0.05060, precision: 0.9767, recall: 0.977871.
Wed Mar 29 20:01:03 2023 Fold 0, Epoch 27, lr: 0.0000139, train loss: 0.00998, valid loss: 0.05152, precision: 0.9759, recall: 0.978215.
Wed Mar 29 20:11:59 2023 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.00969, valid loss: 0.05168, precision: 0.9748, recall: 0.979249.
Wed Mar 29 20:22:59 2023 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.00959, valid loss: 0.05157, precision: 0.9752, recall: 0.978583.
Wed Mar 29 20:34:00 2023 Fold 0, Epoch 30, lr: 0.0000009, train loss: 0.00963, valid loss: 0.05116, precision: 0.9759, recall: 0.978310.
Wed Mar 29 20:44:57 2023 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.21890, valid loss: 0.10735, precision: 0.9221, recall: 0.925910.
Wed Mar 29 20:55:55 2023 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.07599, valid loss: 0.05542, precision: 0.9543, recall: 0.966764.
Wed Mar 29 21:06:51 2023 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.05603, valid loss: 0.05046, precision: 0.9592, recall: 0.970103.
Wed Mar 29 21:17:48 2023 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.04965, valid loss: 0.04749, precision: 0.9676, recall: 0.966584.
Wed Mar 29 21:28:53 2023 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.04516, valid loss: 0.04667, precision: 0.9625, recall: 0.972707.
Wed Mar 29 21:39:48 2023 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.04130, valid loss: 0.04570, precision: 0.9669, recall: 0.970839.
Wed Mar 29 21:50:45 2023 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.03813, valid loss: 0.04425, precision: 0.9659, recall: 0.971254.
Wed Mar 29 22:01:48 2023 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.03539, valid loss: 0.04344, precision: 0.9687, recall: 0.970590.
Wed Mar 29 22:12:47 2023 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.03294, valid loss: 0.04407, precision: 0.9653, recall: 0.972231.
Wed Mar 29 22:23:43 2023 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.03063, valid loss: 0.04262, precision: 0.9702, recall: 0.972154.
Wed Mar 29 22:34:37 2023 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.02873, valid loss: 0.04252, precision: 0.9702, recall: 0.972616.
Wed Mar 29 22:45:35 2023 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.02630, valid loss: 0.04240, precision: 0.9747, recall: 0.970616.
